FEBh,PLUSW0(1),,,FCBh,PR2,,,FABh,RCSTA,,,F8Bh,LATC,
FEAh,FSR0H,,,FCAh,T2CON,,,FAAh,—(2),,,F8Ah,LATB,
FE9h,FSR0L,,,FC9h,SSPBUF,,,FA9h,EEADR,,,F89h,LATA,
FE8h,WREG,,,FC8h,SSPADD,,,FA8h,EEDATA,,,F88h,—(2),
FE7h,INDF1(1),,,FC7h,SSPSTAT,,,FA7h,EECON2(1),,,F87h,—(2),
FE6h,POSTINC1(1),,,FC6h,SSPCON1,,,FA6h,EECON1,,,F86h,—(2),
FE5h,POSTDEC1(1),,,FC5h,SSPCON2,,,FA5h,—(2),,,F85h,—(2),
FE4h,PREINC1(1),,,FC4h,ADRESH,,,FA4h,—(2),,,F84h,PORTE(3),
FE3h,PLUSW1(1),,,FC3h,ADRESL,,,FA3h,—(2),,,F83h,PORTD(3),
FE2h,FSR1H,,,FC2h,ADCON0,,,FA2h,IPR2,,,F82h,PORTC,
FE1h,FSR1L,,,FC1h,ADCON1,,,FA1h,PIR2,,,F81h,PORTB,
FE0h,BSR,,,FC0h,ADCON2,,,FA0h,PIE2,,,F80h,PORTA,
